word,count
december. ,1
decid,124
decisions.,4
"decisive,",1
decre,1
deem,15
defeat.,3
defeat. ,1
defender.),1
defender;,1
"defenders,",6
defending-champion,3
defense/rebound,1
defensively?,3
deflategate,2
degrees. ,1
dejount,15
"dekker,",2
delaney,2
delici,3
dellavedova,7
delont,2
demajeo,1
"demeanor,",1
democraci,1
demolit,1
"demonstrably,",1
demos.,1
deng,8
denni,61
dennis.'',1
denomin,1
denot,2
denver);,1
denver. ,3
denver’,8
departure),1
depict,2
depth,39
"depth,",1
derbi,1
derozan-esqu,1
derrickson |,1
descend,5
"describe,",2
deserve.,1
deservedli,2
design.,3
"desire,",1
destination. talk,1
deterior,3
determin,71
determined.,3
"detroit,",28
detroit.>,1
detroit:  mad,1
detroit (ap),1
detroit --,3
developed.,1
development.,11
de’anthoni,3
diallo |,1
dialogue,1
"dialogue,",1
diamond,3
diamond-lac,1
dick,8
did.),1
diem.,1
dieng.,1
diesel.,1
diet.,1
difference-maker.,1
"difference?,’",2
"different,’’",1
