word,count
white',1
"whitney,",1
who'll,1
whoever,6
wiggin,13
"wiggins,",1
wild.,1
wildli,1
williams.,1
williamson,44
"win,",22
wind,6
windi,1
window,2
winners.,1
wins.,5
wipe,1
with.,4
withstood,2
wizard,28
"wizards,",4
wizards:,8
"wolfpack,",1
wolverin,13
wolverines?,1
"wolves,",5
women,7
women',3
wood',2
wood.,2
"working,",1
"workplace,",1
world,22
world',8
world.,5
worth,7
wreck,1
wrench,1
wrong,5
wrong.,1
"yeah,",5
year,158
"years,",12
yellow-,1
york',1
york.,9
you'v,7
"younger,",1
youth,4
youtube:,2
zag,10
zaza,1
!!!,1
$1.1,1
"$100,000",1
"$170,000",1
$2.52,1
$25,2
$3.81,1
"$300,000",1
"$35,000",1
$84-million,1
$88,1
''tomb,1
'45',1
"'90s,",1
'd-wade!,1
"'dang,",1
'em.,2
'just,1
'the,1
"(1,495)",1
(10,1
"(10),",1
(100-84),1
(12),1
"(12.7),",1
(16).,1
(17,3
(17-57),1
(18.0,1
"(1998,",1
(204,2
(24,2
(26),1
(26-10),1
(28-6),3
"(28-6),",1
(30-42),1
(30-9),2
(33-3),1
"(33-3),",1
(35-38).,1
(38-36),1
(73,1
(762-295).,1
(a.k.a.,1
(curry),1
(four,2
(harkless),1
(knee),1
"(knee),",1
(mcconnell),1
(mclemore),1
(or,1
(ot),5
(second),1
(sore,8
(strain,6
(ucla).,1
(which,1
(with,1
"(wrist),",1
--lo,1
--san,2
--the,6
.721,1
0-3,2
0.7,1
"1,444th",1
1-3-1,1
1.5,1
1/2,12
10,207
10-5,1
10-game,1
10-minut,1
10.2,1
10.9,1
"100,",1
100-94,2
104-84,1
104-98,1
105-99,3
106,6
"106-104,",1
"107,",3
108-85.,1
109-96,1
10th.,1
"11,",3
"11,500,",1
11-year,1
110-105,1
111-102.,1
113,2
"114,",2
115-155,1
117-112,1
118-98,3
118.,1
11:45,1
11th,9
11th-place,3
12-8,1
12.5,1
120,5
"121,",4
126-118,1
126-125,1
127,1
"128,",2
12:25,1
13-6,1
13.3,1
132-108,1
133-132,1
137-116,1
14-11,1
14-4,2
"14-57,",1
14.8,2
148,1
15.,9
15.6,1
155,1
15:42,1
15th-seed,4
16-0,1
16.4,1
162,1
16th-seed,1
17,101
"17,000",1
17-21,1
17-5,1
17-game,1
17.2,1
17:51,1
"18,",6
18-year,1
18.0,1
"1865,",1
18th,5
19-10.,1
19-of-29,1
